Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C1,FALSE,NSF_7_NEC_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.203664354046526,TRUE,3,39,No Amp,,0,1.5990301370620728,0.00038718909490853548,78.282958984375,,,,Y,Y,N,N,N,N
26,C2,FALSE,NSF_7_NEC_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,39,No Amp,,0,1.4033032655715942,-0.00017339098849333823,77.693244934082031,,,,Y,Y,N,N,N,Y
27,C3,FALSE,NSF_7_NEC_QR,C,UNKNOWN,VIC,NFQ-MGB,38.41900634765625,38.41900634765625,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,35,Inconclusive,,0.14340917984802892,0.72970670461654663,0.08170667290687561,0,,,,Y,N,Y,N,N,N
27,C3,FALSE,NSF_7_NEC_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3073849678039551,-0.0004493245214689523,78.57781982421875,,,,Y,Y,N,N,N,Y
28,C4,FALSE,NSF_7_NEC_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.203664354046526,TRUE,3,39,No Amp,,0,1.4063858985900879,-0.0028264711145311594,80.052116394042969,,,,Y,Y,N,N,N,Y
29,C5,FALSE,NSF_7_NEC_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,39,No Amp,,0,1.3529894351959229,-0.0020906403660774231,78.135528564453125,,,,Y,Y,N,N,N,Y
30,C6,FALSE,NSF_7_NEC_QR,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.41900634765625,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,39,No Amp,,0,0.61711311340332031,-0.007353026419878006,0,,,,Y,Y,Y,N,N,N
30,C6,FALSE,NSF_7_NEC_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2120257616043091,-0.0023353341966867447,78.135528564453125,,,,Y,Y,N,N,N,Y
31,C7,FALSE,CRII2020_RRT_AcU104,Acer,UNKNOWN,SYBR,None,20.404823303222656,20.129964828491211,0.38870859146118164,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.50162227163437145,4.0581541061401367,3.614816427230835,75.186943054199219,,,,Y,N,N,N,N,N
32,C8,FALSE,CRII2020_RRT_AcU104,A,UNKNOWN,SYBR,None,21.267478942871094,21.421459197998047,0.21776096522808075,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.36587338105838307,4.2996530532836914,3.8825087547302246,87.718452453613281,,,,Y,N,N,N,N,N
33,C9,FALSE,CRII2020_RRT_AcU104,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95819365978240967,-0.001130296615883708,76.661239624023438,,,,Y,Y,N,N,N,Y
34,C10,FALSE,CRII2020_RRT_AcU104,Acer,UNKNOWN,SYBR,None,19.855106353759766,20.129964828491211,0.38870859146118164,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.34982106196208224,3.945667028427124,3.5000944137573242,75.334373474121094,,,,Y,N,N,N,N,N
35,C11,FALSE,CRII2020_RRT_AcU104,A,UNKNOWN,SYBR,None,21.575439453125,21.421459197998047,0.21776096522808075,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.35539652480159672,4.5774021148681641,4.1593451499938965,87.571022033691406,,,,Y,N,N,N,N,N
36,C12,FALSE,CRII2020_RRT_AcU104,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,29,No Amp,,0,1.0615497827529907,-0.0068276249803602695,75.334373474121094,,,,Y,N,N,N,N,Y
37,D1,FALSE,CRII2020_FWC_ApCCN4,Acer,UNKNOWN,SYBR,None,17.25523567199707,17.080123901367188,0.24764543771743774,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.47110329548668617,4.3606719970703125,3.8123633861541748,75.186943054199219,,,,Y,N,N,N,N,N
38,D2,FALSE,CRII2020_FWC_ApCCN4,A,UNKNOWN,SYBR,None,18.376907348632812,19.113082885742188,1.0411081314086914,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.23408831486460668,4.4912290573120117,3.7950465679168701,87.571022033691406,,,,Y,N,N,Y,N,N
39,D3,FALSE,CRII2020_FWC_ApCCN4,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0339527130126953,-0.0024107310455292463,76.366378784179688,,,,Y,Y,N,N,N,Y
40,D4,FALSE,CRII2020_FWC_ApCCN4,Acer,UNKNOWN,SYBR,None,16.905012130737305,17.080123901367188,0.24764543771743774,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.38874593000577268,4.2516765594482422,3.7107601165771484,75.481803894042969,,,,Y,N,N,N,N,N
41,D5,FALSE,CRII2020_FWC_ApCCN4,A,UNKNOWN,SYBR,None,19.84925651550293,19.113082885742188,1.0411081314086914,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.33180388047786258,4.4262995719909668,3.9120769500732422,87.571022033691406,,,,Y,N,N,Y,N,N
42,D6,FALSE,CRII2020_FWC_ApCCN4,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0233817100524902,-0.0020023842807859182,75.481803894042969,,,,Y,Y,N,N,N,Y
43,D7,FALSE,CRII2020_FWC_AcCB024,Acer,UNKNOWN,SYBR,None,19.575366973876953,19.285743713378906,0.40958914160728455,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.55212621003154605,4.0524435043334961,3.5958867073059082,75.334373474121094,,,,Y,N,N,N,N,N
44,D8,FALSE,CRII2020_FWC_AcCB024,A,UNKNOWN,SYBR,None,22.145795822143555,22.166301727294922,0.028999729081988335,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.48336873416743831,4.3845195770263672,3.9239485263824463,87.718452453613281,,,,Y,N,N,N,N,N
45,D9,FALSE,CRII2020_FWC_AcCB024,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95233255624771118,0.001775614800862968,76.661239624023438,,,,Y,Y,N,N,N,Y
46,D10,FALSE,CRII2020_FWC_AcCB024,Acer,UNKNOWN,SYBR,None,18.996120452880859,19.285743713378906,0.40958914160728455,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.3957368369832559,3.9491398334503174,3.4838557243347168,75.334373474121094,,,,Y,N,N,N,N,N
47,D11,FALSE,CRII2020_FWC_AcCB024,A,UNKNOWN,SYBR,None,22.186807632446289,22.166301727294922,0.028999729081988335,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.44531375924005695,4.4921879768371582,4.0644927024841309,87.571022033691406,,,,Y,N,N,N,N,N
48,D12,FALSE,CRII2020_FWC_AcCB024,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0354498624801636,7.5856842158827931e-05,75.924087524414062,,,,Y,Y,N,N,N,Y
49,E1,FALSE,CRII2020_FWC_AcCM5,Acer,UNKNOWN,SYBR,None,19.765712738037109,19.526924133300781,0.3376980721950531,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.47131739937988715,4.5134034156799316,4.0121345520019531,75.039512634277344,,,,Y,N,N,N,N,N
50,E2,FALSE,CRII2020_FWC_AcCM5,A,UNKNOWN,SYBR,None,20.853385925292969,21.052379608154297,0.28142091631889343,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.36488978427885188,4.8158884048461914,4.3357338905334473,87.571022033691406,,,,Y,N,N,N,N,N
